,0,1
0,0.0,0.0
1,Trial Started,166.1180686
2,"p300,s,9,0,2",166.1210465
3,"p300,s,9,0,1",166.3181784
4,"p300,s,9,0,5",166.5181067
5,"p300,s,9,0,4",166.7178664
6,"p300,s,9,0,6",166.9173657
7,"p300,s,9,0,0",167.1180562
8,"p300,s,9,0,7",167.3178611
9,"p300,s,9,0,3",167.5010305
10,"p300,s,9,0,8",167.6937472
11,"p300,s,9,0,5",167.8829092
12,"p300,s,9,0,1",168.0732264
13,"p300,s,9,0,4",168.2944327
14,"p300,s,9,0,6",168.4943232
15,"p300,s,9,0,2",168.6945635
16,"p300,s,9,0,3",168.8940135
17,"p300,s,9,0,0",169.077056
18,"p300,s,9,0,7",169.2772177
19,"p300,s,9,0,8",169.4777657
20,"p300,s,9,0,2",169.6774499
21,"p300,s,9,0,4",169.9048316
22,"p300,s,9,0,1",170.1043611
23,"p300,s,9,0,3",170.2917711
24,"p300,s,9,0,5",170.4926914
25,"p300,s,9,0,0",170.691456
26,"p300,s,9,0,6",170.8909545
27,"p300,s,9,0,7",171.0914269
28,"p300,s,9,0,8",171.291496
29,"p300,s,9,0,1",171.4912896
30,"p300,s,9,0,3",171.6915756
31,"p300,s,9,0,6",171.8910304
32,"p300,s,9,0,4",172.0749638
33,"p300,s,9,0,7",172.274159
34,"p300,s,9,0,0",172.4748354
35,"p300,s,9,0,2",172.6751763
36,"p300,s,9,0,5",172.8743561
37,"p300,s,9,0,8",173.0743656
38,"p300,s,9,0,6",173.2751152
39,"p300,s,9,0,1",173.4749864
40,"p300,s,9,0,7",173.6749809
41,"p300,s,9,0,2",173.8742813
42,"p300,s,9,0,5",174.0808453
43,"p300,s,9,0,4",174.2808278
44,"p300,s,9,0,0",174.4803345
45,"p300,s,9,0,3",174.6636847
46,"p300,s,9,0,8",174.8467423
47,"p300,s,9,0,0",175.0473968
48,"p300,s,9,0,4",175.2469856
49,"p300,s,9,0,6",175.4470285
50,"p300,s,9,0,3",175.6471437
51,"p300,s,9,0,1",175.847755
52,"p300,s,9,0,7",176.0468632
53,"p300,s,9,0,5",176.2309424
54,"p300,s,9,0,2",176.4306107
55,"p300,s,9,0,8",176.6309056
56,"p300,s,9,0,4",176.8311361
57,"p300,s,9,0,7",177.0311055
58,"p300,s,9,0,5",177.2311837
59,"p300,s,9,0,2",177.4307844
60,"p300,s,9,0,0",177.6582653
61,"p300,s,9,0,6",177.8481684
62,"p300,s,9,0,1",178.0383495
63,"p300,s,9,0,3",178.2379662
64,"p300,s,9,0,8",178.4377269
65,"p300,s,9,0,1",178.6214563
66,"p300,s,9,0,2",178.8214731
67,"p300,s,9,0,4",179.0215912
68,"p300,s,9,0,3",179.2221199
69,"p300,s,9,0,5",179.4215786
70,"p300,s,9,0,7",179.6276847
71,"p300,s,9,0,0",179.8121635
72,"p300,s,9,0,6",180.0536678
73,"p300,s,9,0,8",180.2396174
74,"p300,s,9,0,5",180.4397471
75,"p300,s,9,0,0",180.6396435
76,"p300,s,9,0,6",180.8402665
77,"p300,s,9,0,2",181.0406609
78,"p300,s,9,0,1",181.2398507
79,"p300,s,9,0,3",181.4404348
80,"p300,s,9,0,7",181.6684235
81,"p300,s,9,0,4",181.8719207
82,"p300,s,9,0,8",182.072016
83,"p300,s,9,0,3",182.2559349
84,"p300,s,9,0,5",182.4560093
85,"p300,s,9,0,1",182.655313
86,"p300,s,9,0,6",182.8561516
87,"p300,s,9,0,4",183.0558345
88,"p300,s,9,0,7",183.2555352
89,"p300,s,9,0,0",183.4559838
90,"p300,s,9,0,2",183.6552678
91,"p300,s,9,0,8",183.8553024
92,Trial Ends,184.055836
93,Trial Started,188.705764
94,"p300,s,9,7,3",188.7061516
95,"p300,s,9,7,6",188.9055964
96,"p300,s,9,7,0",189.1058148
97,"p300,s,9,7,7",189.305697
98,"p300,s,9,7,2",189.5054435
99,"p300,s,9,7,4",189.7053696
100,"p300,s,9,7,1",189.9057427
101,"p300,s,9,7,5",190.0887439
102,"p300,s,9,7,8",190.2891592
103,"p300,s,9,7,3",190.4893047
104,"p300,s,9,7,0",190.7245629
105,"p300,s,9,7,2",190.9243274
106,"p300,s,9,7,5",191.1248456
107,"p300,s,9,7,6",191.3321344
108,"p300,s,9,7,1",191.5322287
109,"p300,s,9,7,4",191.7321987
110,"p300,s,9,7,7",191.9153368
111,"p300,s,9,7,8",192.116405
112,"p300,s,9,7,7",192.3151496
113,"p300,s,9,7,3",192.498593
114,"p300,s,9,7,1",192.6826899
115,"p300,s,9,7,4",192.8822551
116,"p300,s,9,7,0",193.0826013
117,"p300,s,9,7,6",193.3308763
118,"p300,s,9,7,2",193.5306696
119,"p300,s,9,7,5",193.7303674
120,"p300,s,9,7,8",193.9135319
121,"p300,s,9,7,6",194.1143321
122,"p300,s,9,7,2",194.3283726
123,"p300,s,9,7,0",194.5587048
124,"p300,s,9,7,4",194.7422453
125,"p300,s,9,7,5",194.9430473
126,"p300,s,9,7,1",195.1425807
127,"p300,s,9,7,3",195.3427975
128,"p300,s,9,7,7",195.5427524
129,"p300,s,9,7,8",195.7435827
130,"p300,s,9,7,0",195.9430739
131,"p300,s,9,7,5",196.1432258
132,"p300,s,9,7,7",196.3424868
133,"p300,s,9,7,2",196.5423182
134,"p300,s,9,7,4",196.7429253
135,"p300,s,9,7,3",196.9432382
136,"p300,s,9,7,1",197.143141
137,"p300,s,9,7,6",197.3427609
138,"p300,s,9,7,8",197.5424572
139,"p300,s,9,7,1",197.7257614
140,"p300,s,9,7,7",197.9259696
141,"p300,s,9,7,2",198.1531595
142,"p300,s,9,7,4",198.3442835
143,"p300,s,9,7,0",198.5445875
144,"p300,s,9,7,6",198.7439693
145,"p300,s,9,7,5",198.927149
146,"p300,s,9,7,3",199.1275875
147,"p300,s,9,7,8",199.3273663
148,"p300,s,9,7,7",199.5271681
149,"p300,s,9,7,6",199.7276138
150,"p300,s,9,7,4",199.927
151,"p300,s,9,7,0",200.127263
152,"p300,s,9,7,5",200.3268823
153,"p300,s,9,7,3",200.5276681
154,"p300,s,9,7,1",200.7271521
155,"p300,s,9,7,2",200.9275446
156,"p300,s,9,7,8",201.1108141
157,"p300,s,9,7,1",201.3111144
158,"p300,s,9,7,6",201.511078
159,"p300,s,9,7,3",201.7238633
160,"p300,s,9,7,0",201.9236689
161,"p300,s,9,7,4",202.1072047
162,"p300,s,9,7,2",202.3374377
163,"p300,s,9,7,5",202.5371249
164,"p300,s,9,7,7",202.7373358
165,"p300,s,9,7,8",202.9377751
166,"p300,s,9,7,0",203.1375382
167,"p300,s,9,7,5",203.3379293
168,"p300,s,9,7,7",203.5372739
169,"p300,s,9,7,4",203.7374337
170,"p300,s,9,7,1",203.9374534
171,"p300,s,9,7,2",204.1374178
172,"p300,s,9,7,3",204.3377355
173,"p300,s,9,7,6",204.5371102
174,"p300,s,9,7,8",204.7378884
175,Trial Ends,204.937106
176,Trial Started,213.1461753
177,"p300,s,9,6,0",213.1465813
178,"p300,s,9,6,7",213.3466106
179,"p300,s,9,6,1",213.5461072
180,"p300,s,9,6,2",213.7463092
181,"p300,s,9,6,4",213.9463018
182,"p300,s,9,6,6",214.1463919
183,"p300,s,9,6,5",214.3466845
184,"p300,s,9,6,3",214.5465855
185,"p300,s,9,6,8",214.7465034
186,"p300,s,9,6,1",214.9468146
187,"p300,s,9,6,2",215.1466114
188,"p300,s,9,6,3",215.3467875
189,"p300,s,9,6,5",215.546822
190,"p300,s,9,6,7",215.7464667
191,"p300,s,9,6,0",215.9861364
192,"p300,s,9,6,4",216.1836595
193,"p300,s,9,6,6",216.4186287
194,"p300,s,9,6,8",216.6181651
195,"p300,s,9,6,7",216.8157186
196,"p300,s,9,6,4",216.9992763
197,"p300,s,9,6,2",217.2174544
198,"p300,s,9,6,5",217.4060265
199,"p300,s,9,6,3",217.5903842
200,"p300,s,9,6,0",217.7730716
201,"p300,s,9,6,6",217.973382
202,"p300,s,9,6,1",218.1733225
203,"p300,s,9,6,8",218.3642327
204,"p300,s,9,6,3",218.5647916
205,"p300,s,9,6,2",218.7643408
206,"p300,s,9,6,5",218.9480239
207,"p300,s,9,6,0",219.1477797
208,"p300,s,9,6,1",219.3479761
209,"p300,s,9,6,4",219.5483362
210,"p300,s,9,6,7",219.7483053
211,"p300,s,9,6,6",219.9943093
212,"p300,s,9,6,8",220.1930999
213,"p300,s,9,6,0",220.3931685
214,"p300,s,9,6,2",220.5875561
215,"p300,s,9,6,7",220.7875336
216,"p300,s,9,6,1",220.9877037
217,"p300,s,9,6,3",221.1883919
218,"p300,s,9,6,5",221.3872019
219,"p300,s,9,6,6",221.571616
220,"p300,s,9,6,4",221.7709385
221,"p300,s,9,6,8",221.9715361
222,"p300,s,9,6,1",222.1764782
223,"p300,s,9,6,3",222.3759243
224,"p300,s,9,6,0",222.5601376
225,"p300,s,9,6,7",222.7602537
226,"p300,s,9,6,4",222.9600018
227,"p300,s,9,6,2",223.1594744
228,"p300,s,9,6,6",223.3594226
229,"p300,s,9,6,5",223.5596143
230,"p300,s,9,6,8",223.7596061
231,"p300,s,9,6,2",223.9511528
232,"p300,s,9,6,4",224.1357551
233,"p300,s,9,6,3",224.3351042
234,"p300,s,9,6,0",224.5352203
235,"p300,s,9,6,5",224.7350748
236,"p300,s,9,6,7",224.9183246
237,"p300,s,9,6,1",225.1189117
238,"p300,s,9,6,6",225.3185166
239,"p300,s,9,6,8",225.5060511
240,"p300,s,9,6,0",225.7021268
241,"p300,s,9,6,1",225.91735
242,"p300,s,9,6,7",226.117211
243,"p300,s,9,6,3",226.3034604
244,"p300,s,9,6,6",226.503936
245,"p300,s,9,6,4",226.6934084
246,"p300,s,9,6,2",226.8935925
247,"p300,s,9,6,5",227.0929313
248,"p300,s,9,6,8",227.2933813
249,"p300,s,9,6,6",227.4926405
250,"p300,s,9,6,5",227.6933131
251,"p300,s,9,6,3",227.893022
252,"p300,s,9,6,0",228.0926359
253,"p300,s,9,6,1",228.2763759
254,"p300,s,9,6,2",228.4758415
255,"p300,s,9,6,4",228.6763211
256,"p300,s,9,6,7",228.8760484
257,"p300,s,9,6,8",229.0765599
258,"p300,s,9,6,5",229.2767942
259,"p300,s,9,6,4",229.4750287
260,"p300,s,9,6,7",229.6886586
261,"p300,s,9,6,2",229.8684907
262,"p300,s,9,6,3",230.0655257
263,"p300,s,9,6,1",230.2489424
264,"p300,s,9,6,6",230.4420823
265,"p300,s,9,6,0",230.6290238
266,"p300,s,9,6,8",230.8296513
267,"p300,s,9,6,3",231.0295207
268,"p300,s,9,6,0",231.2294269
269,"p300,s,9,6,6",231.4290238
270,"p300,s,9,6,2",231.6405525
271,"p300,s,9,6,7",231.8321248
272,"p300,s,9,6,4",232.0319872
273,Training Complete,232.2218064
